t (s),x (cm),V (cm/s),a (cm/s^2)
0.13, 3.04, -0.50, -16.26
0.17, 3.11, 1.66, 49.07
0.22, 3.19, 1.80, 3.11
0.26, 3.32, 2.89, 24.85
0.31, 3.51, 4.45, 35.50
0.35, 3.47, -1.02, -124.25
0.40, 3.34, -2.89, -42.60
0.44, 3.21, -2.84, 1.11
0.49, 3.25, 1.02, 87.59
0.53, 3.17, -1.95, -67.45
0.57, 3.36, 4.45, 145.55
0.62, 3.56, 4.37, -1.77
0.66, 3.75, 4.45, 1.77
0.70, 3.71, -1.02, -124.25
0.75, 3.73, 0.46, 32.74
0.79, 3.71, -0.47, -21.06
0.84, 3.77, 1.48, 44.38
0.88, 3.58, -4.37, -133.13
0.93, 3.38, -4.45, -1.78
0.97, 3.45, 1.48, 134.90
1.01, 3.47, 0.47, -23.08
1.06, 3.47, 0.00, -10.41
1.10, 3.77, 6.87, 156.20
1.15, 4.55, 17.73, 246.73
1.19, 5.72, 25.96, 183.01
1.24, 7.40, 38.11, 276.11
1.28, 9.55, 47.80, 215.37
1.33, 12.32, 61.55, 305.46
1.37, 15.55, 70.15, 186.91
1.42, 18.96, 75.91, 127.98
1.46, 23.11, 88.32, 264.18
?????????? ??????????
?????????? ??????????
