t (s),x (cm),V (cm/s),a (cm/s^2);;
0.66, 2.98, 5.94, 168.63;;
0.70, 3.76, 17.73, 268.03;;
0.75, 4.99, 27.49, 216.95;;
0.79, 7.13, 47.50, 444.61;;
0.84, 9.77, 58.72, 249.46;;
0.88, 12.65, 62.45, 81.06;;
0.93, 16.01, 74.84, 275.21;;
0.98, 20.15, 89.94, 328.41;;
